PackageID|NondrugItemID|ItemCount|PackageItemUnitID|
29972|278|1.0|3|
30250|95|6.0|3|
30251|101|6.0|3|
30251|102|6.0|3|
30252|103|6.0|3|
30252|104|6.0|3|
30763|311|1.0|3|
30763|312|1.0|3|
33186|452|10.0|3|
34871|15|5.0|3|
35616|548|1.0|3|
35616|549|1.0|3|
36074|627|1.0|3|
36075|627|1.0|3|
36076|626|1.0|3|
36077|626|1.0|3|
36078|625|1.0|3|
36079|625|1.0|3|
36080|628|1.0|3|
36081|628|1.0|3|
36113|664|1.0|3|
36114|664|2.0|3|
36115|664|1.0|3|
38185|658|3.0|3|
38268|439|1.0|3|
38272|334|1.0|3|
39443|75|2.0|3|
39443|76|2.0|3|
39444|71|2.0|3|
39444|72|2.0|3|
39445|73|2.0|3|
39445|74|2.0|3|
39446|69|2.0|3|
39446|70|2.0|3|
41832|341|1.0|3|
42808|78|1.0|3|
42810|699|1.0|3|
42811|699|1.0|3|
42818|77|1.0|3|
43341|588|1.0|3|
43342|588|1.0|3|
43343|591|1.0|3|
43344|591|1.0|3|
44635|685|1.0|3|
44636|684|1.0|3|
44637|683|1.0|3|
44641|657|1.0|3|
44643|592|1.0|3|
45544|443|1.0|3|
46205|411|1.0|3|
46704|320|1.0|3|
46705|320|1.0|3|
46707|321|1.0|3|
46708|321|1.0|3|
46709|321|1.0|3|
46711|322|1.0|3|
46712|322|1.0|3|
46713|322|1.0|3|
47434|307|1.0|3|
47434|308|1.0|3|
47439|490|1.0|3|
47439|509|1.0|3|
47440|488|1.0|3|
47440|513|1.0|3|
47440|514|1.0|3|
47588|595|1.0|3|
49591|701|1.0|3|
49592|596|1.0|3|
49760|659|1.0|3|
50942|388|1.0|3|
51563|433|1.0|3|
51563|434|2.0|3|
51568|435|2.0|3|
51568|436|1.0|3|
51732|4|1.0|3|
51874|551|1.0|3|
51935|25|1.0|3|
52209|39|4.0|3|
52209|40|4.0|3|
52329|689|1.0|3|
52430|46|14.0|3|
52461|47|4.0|3|
52481|650|1.0|3|
52485|50|4.0|3|
52512|648|1.0|3|
52626|58|1.0|3|
52626|59|1.0|3|
52626|60|1.0|3|
52652|61|2.0|3|
52652|62|2.0|3|
52653|63|2.0|3|
52653|64|2.0|3|
52654|65|2.0|3|
52654|66|2.0|3|
52791|79|1.0|3|
52791|80|2.0|3|
52792|81|1.0|3|
52792|82|2.0|3|
52793|83|1.0|3|
52793|84|2.0|3|
52794|85|1.0|3|
52794|86|2.0|3|
52826|107|6.0|3|
52826|108|6.0|3|
52828|111|6.0|3|
52828|112|6.0|3|
52847|302|1.0|3|
52860|121|1.0|3|
52928|132|6.0|3|
52928|137|1.0|3|
52930|134|6.0|3|
52930|135|1.0|3|
52931|132|6.0|3|
52931|137|1.0|3|
52932|132|6.0|3|
52932|137|1.0|3|
52933|133|6.0|3|
52933|136|1.0|3|
52934|133|6.0|3|
52934|136|1.0|3|
